currency,updateTime,cashBuy,cashSell,spotBuy,spotSell,country
USD,2019/1/25,30.395,31.085,30.765,30.865,America
USD,2019/1/24,30.46,31.15,30.83,30.93,America
USD,2019/1/23,30.475,31.165,30.845,30.945,America
USD,2019/1/22,30.47,31.16,30.84,30.94,America
USD,2019/1/21,30.425,31.115,30.795,30.895,America
USD,2019/1/19,30.415,31.105,30.785,30.885,America
USD,2019/1/18,30.42,31.11,30.79,30.8,America
USD,2019/1/17,30.425,31.115,30.795,30.895,America
USD,2019/1/16,30.405,31.095,30.775,30.875,America
USD,2019/1/15,30.395,31.085,30.765,30.865,America
USD,2019/1/14,30.42,31.11,30.79,30.89,America
USD,2019/1/11,30.375,31.065,30.745,30.845,America
USD,2019/1/10,30.36,31.05,30.73,30.83,America
USD,2019/1/9,30.375,31.065,30.745,30.845,America
USD,2019/1/8,30.415,31.105,30.785,30.885,America
USD,2019/1/7,30.385,31.075,30.755,30.855,America
USD,2019/1/4,30.435,31.125,30.805,30.905,America
USD,2019/1/3,30.455,31.145,30.825,30.925,America
USD,2019/1/2,30.365,31.055,30.735,30.835,America
USD,2018/12/28,30.295,30.985,30.665,30.765,America
USD,2018/12/27,30.37,31.06,30.74,30.84,America
USD,2018/12/26,30.39,31.08,30.76,30.86,America
USD,2018/12/25,30.38,31.07,30.75,30.85,America
USD,2018/12/24,30.41,31.1,30.78,30.88,America
USD,2018/12/22,30.4,31.09,30.77,30.87,America
USD,2018/12/21,30.375,31.065,30.745,30.845,America
USD,2018/12/20,30.41,31.1,30.78,30.88,America
USD,2018/12/19,30.385,31.075,30.755,30.855,America
USD,2018/12/18,30.44,31.13,30.81,30.91,America
USD,2018/12/17,30.445,31.135,30.815,30.915,America
USD,2018/12/14,30.435,31.125,30.805,30.905,America
USD,2018/12/13,30.42,31.11,30.79,30.89,America
USD,2018/12/12,30.445,31.135,30.815,30.915,America
USD,2018/12/11,30.47,31.16,30.84,30.94,America
USD,2018/12/10,30.445,31.135,30.815,30.915,America
USD,2018/12/7,30.41,31.1,30.78,30.88,America
USD,2018/12/6,30.42,31.11,30.79,30.89,America
USD,2018/12/5,30.38,31.07,30.75,30.85,America
USD,2018/12/4,30.28,30.97,30.65,30.75,America
USD,2018/12/3,30.31,31,30.68,30.78,America
USD,2018/11/30,30.41,31.1,30.78,30.88,America
