flag,currency,cashBuy,cashSell,spotBuy,spotSell,country
null,USD,30.445,30.815,31.135,30.915,美國
null,HKD,3.775,3.911,3.991,3.971,香港
null,GBP,37.83,38.83,39.95,39.25,英國
null,AUD,21.3,21.57,22.08,21.8,澳洲
null,CAD,22.39,22.78,23.3,23,加拿大
null,SGD,22.09,22.58,23,22.76,新加坡
null,CHF,30.45,31.11,31.65,31.4,瑞士
null,JPY,0.2758,0.2831,0.2886,0.2871,日本
null,ZAR,0,2.11,0,2.19,南非
null,SEK,3.04,3.38,3.56,3.48,瑞典
null,NZD,20.21,20.59,21.06,20.79,紐西蘭
null,THB,0.8394,0.948,1.0274,0.988,泰國
null,PHP,0.5137,0,0.6467,0,菲律賓
null,IDR,0.00183,0,0.00253,0,印尼
null,EUR,34.37,34.99,35.71,35.39,歐洲
null,KRW,0.02574,0,0.02964,0,韓國
null,VND,0.00096,0,0.00146,0,越南
null,MYR,6.364,0,7.994,0,馬來西亞
null,CNY,4.394,4.466,4.556,4.516,中國
